"B","T","E","X","X9_ane","X10_ane","X13_ane","X14_ane","X1_M_2_PA","BTM","FormicAcid","aceticacid","NonaDecanoicAc","Tot_OcNoDecana","TYPE","SAISON","Campagne","Localisation"
-1.78642737235242,-1.33637850466736,-1.37290285997107,-1.57450856476616,-2.06971291076856,-1.96528944924162,-1.56546712521004,-1.435099134566,-1.49431990831202,-1.80261984524174,-1.49631984860371,-1.44815031273016,-1.1247434604763,-1.39877553985375,"rural","hiver","BF2","P14"
-1.93771103233979,-0.156047707758314,-0.297727251648643,-0.666396839023136,-1.56952768433172,-1.50122288268719,-1.68501281042623,-1.75027632868232,-0.414522384787585,-0.634244435439214,-1.36257442332422,-1.84037563416474,-1.11773706974445,-1.34886530211745,"urbain","hiver","BF2","P15"
-1.24246555745005,-0.470310189702065,-0.948278323427393,-1.20298415881239,-1.40210948054701,-1.25967638779435,-1.30474702053073,-0.612289246053983,-0.719904514932814,-1.05428967035628,-1.32510507141162,-1.58245585007893,-1.27869908176786,-1.77455070830361,"sourceindustrie","hiver","BF2","P09"
-1.27786164341175,-0.52748402130181,-1.05686259225071,-1.24913462327957,-1.44134944778245,-1.32530590884113,-1.50898302447627,-1.54079230995498,-1.32843940616103,-1.08902617680278,-1.40530320804215,-1.68406761464321,-2.34498407233191,-1.85155478824596,"urbain","hiver","BF2","P11"
-1.1250538861403,0.247140512963627,-0.232872442466207,-0.537584719253175,-0.440541951515039,-0.399701202594955,-1.11691861709611,-2.05428765027666,-0.471002476628097,-0.0930191841394018,-1.05662648603504,-0.965948184176353,-1.1852372387218,-0.932862319193586,"urbain","hiver","BF3","P21"
-0.921137096844089,0.0488287261092457,0.0831223083961182,-0.268329721988946,-0.165307994731079,0.0667732935987792,-0.553810470274574,-1.20238586584901,-0.0409034573934296,0.688928951825413,-1.18545206216228,-0.854555906673842,-0.89093738970743,-0.522999966615575,"urbain","hiver","BF3","P18"
-1.18058187626755,-0.611907903542677,-0.634841541999666,-0.890318872899998,-0.964951509895371,-0.773303714146083,-1.05318645814978,-1.54788202532148,-1.42898536625627,-0.599836168884627,-1.12700787587046,-1.13744704211375,-1.20797742258048,-1.03510424591616,"urbain","hiver","BF3","P20"
-1.1179414622826,2.0258128747202,0.786975507631521,0.130629311752692,1.23534285681974,1.28443243609132,-0.251165765029418,-1.03111545106005,-0.420360861144656,1.34662391203495,-0.729662994771176,0.715656762101947,-0.472817556540891,0.205199929466789,"compostage","hiver","BF3","P02"
-1.43116073823496,-0.230667876890541,-0.0979629793183698,-0.460754717977542,-0.391912342026262,-0.423960506922377,-0.71967902176738,-1.30047198881975,-0.851800934912303,-7.38898606072529e-05,-1.12234825683751,-0.466062195430759,-1.13697478064071,-0.582075414080183,"urbain","hiver","BF3","P05"
-1.41963318198082,-0.514674171721638,-0.196030605616404,-0.672842001250936,-1.11145147222626,-0.942749168112022,-0.987597250476717,-1.92472426648317,-0.943245607291686,-0.638534274457903,-0.929692738781707,-0.725631324312343,-1.04437247819854,-0.61502969929246,"rural","hiver","BF3","P06"
-1.26966549687118,-0.583151433769525,-0.423972779175817,-0.854460120083177,-1.20184507734208,-1.09827435784622,-0.855981740739196,-1.4215924352972,-0.982260675775456,-0.815310646448709,-1.06288814795378,-0.858296941829952,-1.32342556030666,-0.239323439507163,"rural","hiver","BF3","P07"
-1.35490269640158,-0.431477237053805,-0.291074713234594,-0.705910261847618,-0.908735308096609,-0.832015940445384,-0.773033205504116,-1.32022641977754,-0.607544273785499,-0.523283319418935,-0.869557056083713,-0.708270229306605,-1.2726992350949,-0.654858844453473,"rural","hiver","BF3","P03"
-1.28369505479458,0.0177319095682695,0.41122732552066,-0.255165687093302,-0.848915009065576,-0.906822143213662,-0.957909507349864,-1.58457695239363,-0.719468198103655,-0.470288083788601,-1.07593195802695,-1.03496713628897,-0.918054324160545,-0.702889152484183,"rural","hiver","BF3","P08"
-1.11273656196523,-0.260400871682387,0.206390559158898,-0.419600656032067,-1.15390726429987,-1.16765216392516,-0.948625176473194,-1.53739597410507,-0.963933026237978,-0.737873051042756,-1.01528498434949,-1.1957243769724,-1.61744234099715,-0.803473147075899,"rural","hiver","BF3","P13"
-1.62539472457249,-0.77848349612582,-0.108444490984147,-0.558175339675659,-1.24654466722244,-1.14572130922975,-1.26886413437071,-1.74491033605337,-0.930698547169323,-0.78492903118499,-1.03722639226868,-1.19406800971474,-1.69200610772953,-0.962694969194049,"urbain","hiver","BF3","P14"
-1.19646632617612,0.882676239050277,1.20743458988606,0.372722340282069,-0.349839520909176,-0.654301891481653,-0.970807064004034,-1.77943755972774,-0.0550854023532136,0.080856815538859,-1.03987777243001,-1.1845845823257,-1.60073094777968,-0.495647580080588,"urbain","hiver","BF3","P15"
-0.702960559507674,-0.0257140006545544,0.0645007403319245,-0.319762138657302,-0.274133800169765,-0.352932435162399,-0.738667889826094,-1.32717810761952,-0.0934177436818347,0.523011214187455,-1.15917882115098,-0.949853797022685,-0.875449606041479,-0.558386538188014,"sourceindustrie","hiver","BF3","P09"
-0.846405119849984,-0.315599371678449,-0.177900703646518,-0.536371897622718,-0.78356543428159,-0.842938860891883,-0.94364016337714,-1.63920550388291,-0.853669585084312,-0.0817554378563052,-0.967736025098008,-0.678637980822931,-1.57088374825101,-0.558193556584299,"urbain","hiver","BF3","P16"
-1.01634304069246,0.0833166157148581,0.382207119038937,-0.109176447578975,-0.159798618595399,-0.152964123572297,-0.671020549855387,-1.10389397396138,-0.11997271726539,0.385644104771715,-1.05293999453785,-0.874566270287652,-1.16714056227661,-0.591262329768982,"urbain","hiver","BF3","P11"
-0.840011136800125,-0.0511973535738479,0.543834534110399,-0.0720132288986452,-0.275621279370941,-0.207315459588968,-0.573014151217952,-0.957094293692996,0.7937092929724,1.48594550464218,-1.01532434128647,-0.653138783727137,-1.17927178318329,-0.594224743982649,"sourceindustrie","hiver","BF3","P10"
